,Unnamed: 0,시장/마트 이름,주소명,위도,경도
78,78,롯데백화점 강남점,도곡로 401,37.496979324799,127.053254695846
79,79,도곡시장,선릉로69길 19,37.4981263526043,127.050691041401
80,80,마천중앙시장,마천로45길 23,37.4980804858125,127.150696273126
81,81,방이시장,백제고분로48길 41,37.5103514254188,127.117547762781
82,82,롯데백화점 잠실점,올림픽로 240,37.5113096112036,127.098141751177
83,83,홈플러스 잠실점,올림픽로35가길 16,37.5162517087896,127.103006473255
84,84,둔촌역전통시장,풍성로58길 34,37.5274828128239,127.1351570109
85,85,이마트 명일점,고덕로 276,37.5547067235109,127.155613136912
86,86,홈플러스 강동점,양재대로 1571,37.5457145865749,127.14225531407
87,87,암사종합시장,상암로11길 25,37.5508588488412,127.128820816501
88,88,농협 하나로마트 용산점,청파로 122,37.5331746103959,126.964733000098
89,89,후암시장,후암로35길 24,37.550461766474,126.976004772329
90,90,이마트 용산점,한강대로23길 55,37.5297718014452,126.964741503485
91,91,용문시장,효창원로42길 38-14,37.5361024554772,126.960057977522
92,92,돈암제일시장,동소문로18길 23,37.5913808131323,127.016120800764
93,93,이마트 미아점,도봉로 17,37.6108552099076,127.029867413357
94,94,현대백화점 미아점,동소문로 315,37.6083998425637,127.028743635895
95,95,장위골목시장,장위로38길 67,37.6103803919803,127.051539541872
96,96,이마트 여의도점,여의동로3길 10,37.5181172905531,126.925195988034
97,97,홈플러스 영등포점,당산로 42,37.5182396969791,126.895880210522
98,98,영등포전통시장,영등포로45길 20,37.5210658498996,126.908472234369
99,99,대림중앙시장,디지털로37나길 21,37.4916080580488,126.899942162212
